wylie,translations,comment,Oleg's comments
bag chags,karmic constant habit; karmic latency ,"A type of karmic aftermath, imputable on one's mental continuum as an unspecified (ethically neutral) noncongruent affecting variable after having committed a karmic action, and which ripens into a result every moment until a true stopping of it has been achieved. Some translators render it as ""habit"" or ""instinct.""; A general term for all karmic aftermath -- namely, karmic potentials, karmic tendencies, and karmic constant habits. ",
bag la nyal ,dormant factor,"Literally, something that is ""asleep to the taste of the mind."" Affecting variables, associated with mental continuums, which are ""lying down"" and not rushing to manifest mind (consciousness). They include subliminal awareness, tendencies, and habits.
",
bag med,,,
bag yod,caring attitude,"The subsidiary awareness (mental factor) that takes seriously the situations of others and oneself, and the effects of one's actions on others and on oneself, and which consequently causes one to build up as a habit constructive attitudes and behavior and safeguards against leaning toward tainted or destructive attitudes and behavior. Also translated as ""carefulness.""
",
bar do,bardo,"The state of existence from the moment immediately after death until the moment immediately before conception. Translated as the ""inbetween state.""
",
bar do ba,,,
bdag,"impossible ""soul""","(1) With respect to the five aggregate factors of an individual being, something findable inside the aggregates that is static, a partless monad, separable from the body and mind, and self-sufficiently knowable. (2) With respect to all validly knowable phenomena, an impossible mode of existence that establishes the existence of a phenomenon by the power of something findable inside that phenomenon.
","у Берзина было еще одно значение, которе, как я считаю, не нужно приводить в словаре: According to non-Buddhist Indian tenet systems, something findable, either with or without being a conscious phenomenon, inside the body of a person, and which is static, a partless monad, separable from the body, and self-sufficiently knowable"
bdag dang bdag gir ‘dzin pa,,,
bdag med,"lack of an impossible ""soul""","(1) With respect to the five aggregate factors of an individual being, the total absence (voidness) of something findable inside the aggregates that is static, a partless monad, separable from the body and mind, and self-sufficiently knowable. (2) With respect to all validly knowable phenomena, the total absence (voidness) of an impossible mode of existence that establishes the existence of a phenomenon by the power of something findable inside that phenomenon. Often translated by others as ""selflessness"" or ""identitylessness.""
",
bdag nyid,,,
bdag tu ‘dzin pa,,,
bde [ba],blissful awareness,"A state of mind, either tainted or untainted, characterized by varying levels of intensity of happiness. Some of the untainted ones can be utilized in anuttarayoga tantra practice as the type of awareness with which to focus on voidness, and as an aid for dissolving the energy-winds in the central channel in order to gain access to clear light awareness.
",
blo,attitude + intellect,"A mental factor that takes its cognitive object by regarding it from a certain point of view + The mental activity that gives rise to conceptual cognition -- most commonly, to verbal conceptual thought.
",
brtags min gyi ‘gog pa,,,
