wylie,translations,comment
bag chags,отпечаток; след; привычка; наклонность; семя,
bag la nyal,потенциальное,
bag med,,
bag yod,серьезность,
bar do,,
bar do ba,,
bdag,,
bdag dang bdag gir ‘dzin pa,,
bdag med,отсутствие Я; не-Я,
bdag nyid,Я; сущность,
bdag tu ‘dzin pa,,
bde [ba],блаженство; наслаждение,
blo,,
brtags min gyi ‘gog pa,,
brtson ‘grus,усердие; старание; настойчивость,
bsam gtan,созерцание + трансовые состояния четырех уровней Мира Форм,
bsam pa,обдумывание; намерение,
bsgom pa,,
bsgrub pa,,
bsod nams,заслуги,положительная карма
byams pa,любовь + Майтрея,
byang [chub kyi] sems,мысль о Просветлении,
byang [chub] sems [dpa‘],бодхисаттва,
byang chub,Просветление,
byis pa,ребенок; наивный; простак; простофиля,
bzung ba,,
chad [pa‘i] lta [ba],,
chags pa,желающий; желание; влечение; симпатия; привязанность; пристрастность; проявленность,
chos,Учение; элемент; закон; справедливость; предмет мысли; качество,
chos [kyi] dbyings,,
chos mngon,Абхидхарма,название одной из трех питак – разделов Писания
chos nyid,истинная природа (сущего),
chos sku,,
dad pa,вера,
dag pa,чистое; корректное; совершенное,
dben pa,уединение,
dbu ma pa,,
de bzhin gshegs pa,,
de kho na [nyid],,
de nyid,,
dge ba,благо; добро; благое; хорошее,
dge ba‘i bshes gnyen,,
dgra bcom pa,архат,достигший хинаянской нирваны
dmigs pa,представление; восприятие; объект,
dngos po ,вещь; вещественное; реальное,
dngos sgrub,,
don dam,абсолютное,
dran pa,память; памятование; воспоминание,
gang zag,индивид,
gnas lugs,принцип пребывания,
gnyis [su] med [pa],,
gsal ba,"прояснение; становление воспринимаемым + ясность (признак сознания) + предикат в прасанге – «выведении» 
",
gti mug,невежество,"как один из трех ядов – страсть, гнев, невежество"
gtso bo,главное; принцип + Владыка (пракрити),
gzhan dbang,паратантра,"букв, «власть другого», это, возникающее в зависимости от причин и условий"
gzhi,"основа (причина, источник)",
gzugs,цветоформа; материальное; физическое; чувственное,
ji snyed pa,«сколько»,"название того вида мудрости всеведения, который ведает абсолютным"
khams,,
khro ba,,
klu,,
kun rdzob pa‘i bden pa,,
kun slong,,
lam,путь + истина пути, + последняя из четырех истин святого
las,деяние + объект действия,
log rtog,,
lta ba,взгляд; воззрение; теория,
ma rig pa,неведение,
med pa,несуществующее; небытие; отсутствие,
mi dge ba ,неблагое,
mi rigs,,
mi rtag pa,непостоянное,
mi ‘thse ba,,
mngon par zhen pa,признание; приверженность,
mngon rtog ,,
mngon sum ,непосредственное (познание); очевидное; достоверное,
mngon sum gyis shes pa,,
mnyam [par] gzhag [pa],"состояние трансового погружения, при котором исчезает феноменальная явленность",
mthar lta,,
mthar ‘dzin pa,признание крайности,"постоянства, прерывности и т. д."
mtshan gzhi,«основа признака»,"то, что кроме данного признака обладает и другими признаками"
mtshan nyid,,
myang ‘das,,
myong ba,«вкушение»; переживание; испытание,
nga rgyal,гордость,
ngar ‘dzin ,признание я,
nges ‘byung,,
ngo bo ,сущность,
nyams len,,
nyan thos [rnams],,
nyon mongs,клеша,"буквально «мучитель», это фактор, вызывающий неуспокоенность потока сознания и служащий совместно с действующей (с деяниями) причиной получения рождения"
pha rol tu phyin pa,парамита; совершенное,
phrin las,,
phung po,,
phyag rgya,мудра; жест; символ; принцип,
rang bzhin,собственное бытие; природа,
