wylie,translations
bag chags,
bag la nyal,
bag med, опрометчивость и необдуманность
bag yod, самоконтроль
bar do, бардо
bar do ba, бардопа
bdag, Я
bdag dang bdag gir ‘dzin pa, цепляние за Я и мое
bdag med, бессамостность
bdag nyid,
bdag tu ‘dzin pa, цепляние за Я
bde [ba], блаженство; Сукхавати
blo, ум
brtags min gyi ‘gog pa,
brtson ‘grus, Усердие
bsam gtan, медитация
bsam pa,
bsgom pa, медитация
bsgrub pa,
bsod nams, заслуги
byams pa, любовь
byang [chub kyi] sems, бодхичитта
byang [chub] sems [dpa‘], бодхисаттва
byang chub, Пробуждение
byis pa, незрелые люди
bzung ba, объект
chad [pa‘i] lta [ba],
chags pa, привязанность
chos,"Дхарма;Учение, Святая Дхарма"
chos [kyi] dbyings, дхармадхату
chos mngon, Абхидхарма
chos nyid, бытие
chos sku, Дхармакая
dad pa, вера
dag pa,	чистота
dben pa, затворничество
dbu ma pa, Мадхъямака
de bzhin gshegs pa, Татхагата
de kho na [nyid],
de nyid,
dge ba, благое; добродетель; позитивное; положительное
dge ba‘i bshes gnyen, духовный учитель
dgra bcom pa,"Победитель, Победоносный, Архат"
dmigs pa,
dngos po, вещи; истинносуществующие вещи
dngos sgrub,
don dam, абсолютное; высшая (истина)
dran pa, памятование
gang zag, индивидуумы
gnas lugs, природа вещей
gnyis [su] med [pa], недвойственность
gsal ba,
gti mug, заблуждение
gtso bo,
gzhan dbang,"зависимость, обусловленность"
gzhi, основа
gzugs, форма
ji snyed pa, относительное
khams,
khro ba, гнев
klu, наги
kun rdzob pa‘i bden pa, относительная и высшая истина
kun slong, мотивация
lam, путь
las, карма; действия
log rtog,
lta ba,
ma rig pa, неведение
med pa, небытие
mi dge ba, неблагое
mi rigs,
mi rtag pa, непостоянство
mi ‘thse ba, ненасилие
mngon par zhen pa,
mngon rtog, непосредственное/прямое познание/постижение
mngon sum,
mngon sum gyis shes pa, непосредственное постижение
mnyam [par] gzhag [pa], погружение в медитативное сосредоточение
mthar lta, крайние воззрения
mthar ‘dzin pa,
mtshan gzhi,
mtshan nyid,
myang ‘das, Нирвана
myong ba,
nga rgyal, гордость
ngar ‘dzin,	цепляние за я
nges ‘byung, отречение
ngo bo,	сущность
nyams len,
nyan thos [rnams],
nyon mongs,	клеши; отрицательные эмоции; омрачающие эмоции
pha rol tu phyin pa, парамиты
phrin las, деятельность
phung po, скандхи
phyag rgya, мудра
rang bzhin, самобытие; cамосущее
rang gi mtshan nyid,
rang rig,
rang sangs rgyas, Пратьекабудды
rdo rje, ваджра
rdzas, вещество
reg pa, контакт
rgyal ba, Победитель
rgyud,
rig pa,
rjes su dran pa, памятование
rmongs pa, глупость
rnam par thar pa, освобождение
rnam [par] rtog [pa],
rnam shes, сознание
rtag lta ba,
rten,
rten [cing] ‘brel [bar ‘byung ba], взаимообусловленность
rtog pa, в ходе осмысления
rtogs pa,	постижение
sbyin pa,"даяние, дар"
sdig pa, зло; злодеяние; преступление;  пагубное;
sdug bsngal, страдание
sems,
sems bskyed, бодхичитта
sems nyid,
sgo gsum,
sgom pa,"созерцание, медитация"
sgrib pa, завесы
sgro ‘dogs pa,
sgyu ma, иллюзия
shes bzhin pa,
shes pa,"сознание, познание"
shes rab,	мудрость
sku gsum,
smon lam,"молитва, благопожелание"
snang,
sngags, мантра
snying brtse,"любовь, сострадание"
snying rje, сострадание
snying stobs, стойкость
so sor brtags ‘gog,
so sor rtog pa, различающая мудрость
so sor thar pa, пратимошка
spros pa,
sprul sku, Нирманакая
spyod pa, деяния
sred pa,
srid pa, самсара
stong [pa] nyid, пустота
thams cad mkhyen pa,
thar pa, освобождение
thos pa, слушание
thug pa med pa,
ting nge ‘dzin,	медитация; сосредоточение
tshul khrims, нравственность; нравственная дисциплина
ye shes,
yon tan, благие свойства
yul,
zhe sdang, гнев
zhi ba,"Покой;Нирвана,умиротворение"
‘bras bu,"плод, результат"
‘byor ba, практика
‘dod chags, страсть
‘dod pa, желание
‘du shes, различение
‘dus byas, обусловленное
‘dzin pa, субъект
‘gro ba,
‘jig rten,"низшие миры, иные миры, мирское"
‘jug pa‘i sems, деятельная бодхичитта
‘khor ba,"самсара, куруговорот"
‘phags pa,"благородный (""благородные  истины"")"
