wylie,translations,comment
bag chags,отпечаток,
bag la nyal ,отпечаток дремлющий/подспудный,
bag med,беспечность,
bag yod,осмотрительность; серьёзность; осознанность-осмотрительность,
bar do,переход; переходное состояние,
bar do ba,существо перехода,
bdag,Я; самость; сущность,
bdag dang bdag gir ‘dzin pa,схватывание (в представлении) «самости» и «своего»,
bdag med,бессамостность,
bdag nyid,суть; сущность,
bdag tu ‘dzin pa,схватывание Я (самости) ,
bde [ba],блаженство,
blo,интеллект,
brtags min gyi ‘gog pa,неаналитическое прекращение ,
brtson ‘grus,усердие,
bsam gtan,,
bsam pa,,
bsgom pa,медитация; медитативное освоение; созерцание,
bsgrub pa ,установление; устанавливать достоверно (существование в статусе субъективированного),
bsod nams,благие заслуги,
byams pa,,
byang [chub kyi] sems,бодхичитта,
byang [chub] sems [dpa‘],Герой Пробуждения (бодхисаттва),
byang chub,Пробуждение,
byis pa,люди-дети,
bzung ba,схватываемое ,
chad [pa‘i] lta [ba],воззрение уничтожения; терминализм ,
chags pa,тяготение; привязанность ,
chos,Дхарма; Учение; духовное учение; духовность + дхарма; элементы бытия; феномены; явления,
chos [kyi] dbyings,,
chos mngon,теория элементов бытия (Абхидхарма),
chos nyid,подлинное-бытие,
chos sku,Тело учения; Тело истины,
dad pa,вера; устремление-вера,
dag pa,чистота,
dben pa,изоляция; затворничество ,
dbu ma pa,философия срединности (Мадхъямака) ,
de bzhin gshegs pa,Так-ушедший; В-таковости-ушедший,
de kho na [nyid],таковость,
de nyid,идентичность,
dge ba,добродетели,
dge ba‘i bshes gnyen,духовный друг ,
dgra bcom pa,Победитель [омрачений-]врагов;  Архат,
dmigs pa,объективироваться; являться  предметом  рассмотрения; предметно усматриваться,
dngos po ,сущее; сущие-предметы;  реальность; вещи; реальное существование; предметы-реальность; реально-сущее,
dngos sgrub,,
don dam,высший смысл,
dran pa,внимательность; памятование; осознанность,
gang zag,личность; индивид,
gnas lugs,природа вещей ,
gnyis [su] med [pa],недвойственность; недуальность; недвойственное,
gsal ba,,
gti mug,заблуждение,
gtso bo,"""Основа""",(санскр.: прадхана)
gzhan dbang,,
gzhi,,
