wylie,translations
bag chags,склонность; предрасположенность; отпечаток
bag la nyal,потенциальный; латентный
bag med,неосмотрительный; беспечный
bag yod,осмотрительный; осознанный
bar do,промежуточное состояние; бардо
bar do ba,Существо в пром. сост.
bdag,«я»; самость
bdag dang bdag gir ‘dzin pa,цепляние за «я» и «моё»
bdag med,бессамостность
bdag nyid,самость; сущность
bdag tu ‘dzin pa,цепляние за «я»;  представление о «я»
bde [ba],блаженство; счастье
blo,осознавание; интеллект
brtags min gyi ‘gog pa,неаналитическое пресечение
brtson ‘grus,усердие
bsam gtan,сосредоточение; медитация
bsam pa,думать; желать
bsgom pa,медитировать
bsgrub pa,достигать; осуществлять; завершать; доказывать; устанавливать
bsod nams,заслуги; добродетели
byams pa,любовь; Будда Майтрея
byang [chub kyi] sems,бодхичитта; альтруистичская устремлённость к просветлению
byang [chub] sems [dpa‘],бодхисаттва
byang chub,просветление
byis pa,незрелые существа; подобные детям
bzung ba,удостоверять; цепляться; держаться; представлять
chad [pa‘i] lta [ba],нигилизм
chags pa,привязанность; вожделение
chos,Дхарма; Учение Будды; феномен; религия
chos [kyi] dbyings,пространство реальности; природа явлений
chos mngon,знание; высшее знание
chos nyid,реальность; истинная природа
chos sku,Тело Истины
dad pa,вера; преданность
dag pa,чистый
dben pa,уединение; уединённое место
dbu ma pa,последователь срединного пути
de bzhin gshegs pa,Так Ушедший
de kho na [nyid],реальность; таковость
de nyid,реальность; таковость
dge ba,добродетель
dge ba‘i bshes gnyen,благой друг; духовный наставник
dgra bcom pa,победитель врага
dmigs pa,объект сосредоточения; визуализация
dngos po,вещь; феномен
dngos sgrub,Духовные свершения
don dam,абсолютный; высший
dran pa,внимательность; памятование
gang zag,личность
gnas lugs,Способ бытия
gnyis [su] med [pa],Недвойственность
gsal ba,Проявление
gti mug,омрачённость; неведение; смятение; замутнение
gtso bo,Основной
gzhan dbang,Зависимое от иного
gzhi,основа
gzugs,тело; материя; зримая форма
ji snyed pa,Разнообразие
khams,мир; элемент
khro ba,Гневный; яростный
klu,нага (дух воды)
kun rdzob pa‘i bden pa,Относительная истина; условная истина; истина для сознания-покрова
kun slong,мотивация
lam,путь
las,карма; действие
log rtog,Неверное(ложное) представлении
lta ba,воззрение
ma rig pa,неведение
med pa,Несуществование
mi dge ba,Недобродетель
mi rigs,Нелогично; неверно; а также человеческий род
mi rtag pa,непостоянный
mi ‘thse ba,Ненасилие
mngon par zhen pa,Сильное цепляние (сильная приверженность)
mngon rtog,Ясное постижение
mngon sum,непосредственное; прямое; явное
mngon sum gyis shes pa,Непосредственное восприятие; постижение
mnyam [par] gzhag [pa],Медитативное равновесие; мед. погружение
mthar lta,Крайние взгляды
mthar ‘dzin pa,"Воззрение, цепляющееся за крайность"
mtshan gzhi,Иллюстрация
mtshan nyid,Определение; характеристика; свойство
myang ‘das,Нирвана
myong ba,Вкусить; испытать на опыте
nga rgyal,гордость; гордыня
ngar ‘dzin,Представление о (самосущем) я
nges ‘byung,Определённый выход (из сансары) + отречение
ngo bo,Сущность; природа
nyams len,практика
nyan thos [rnams],слушатель
nyon mongs,омрачение ума
pha rol tu phyin pa,"Совершенство + то, что вышло за пределы"
phrin las,Активность (часто: просветлённая активность)
phung po,Психофизические совокупности
phyag rgya,жест; печать
rang bzhin,природа; самобытие
rang gi mtshan nyid,Собственные свойства
rang rig,Самознающее; самопознающее сознание
rang sangs rgyas,постигающий в одиночку
rdo rje,ваджра
rdzas,Субстанция; вещество
reg pa,Прикосновение
rgyal ba,победитель; Победоносный;эпитет Будды
rgyud,поток; поток ума + тантра
rig pa,знание; осознавание
rjes su dran pa,Память; воспоминание
rmongs pa,Омраченность; смятение; неведение; тупость
rnam par thar pa,Освобождение
rnam [par] rtog [pa],концепции; мыслетворение; измышления
rnam shes,сознание; познание
rtag lta ba,Воззрение о постоянстве
rten,Опора; зависеть
rten [cing] ‘brel [bar ‘byung ba],зависимое происхождение
rtog pa,Концептуальное сознание; мысленное обозначение; исследование + познавать; постигать; постижение; познание; свершение
rtogs pa,
sbyin pa,даяние
sdig pa,моральный проступок (грех); скорпион
sdug bsngal,страдание
sems,ум (первичный); сознание; мысль
sems bskyed,Порождение бодхичитты
sems nyid,Ум; ментальный
sgo gsum,Трое врат
sgom pa,медитация; освоение
sgrib pa,препятствие; загрязнение
sgro ‘dogs pa,Наложение; присвоение; преувеличение
sgyu ma,Иллюзия
shes bzhin pa,бдительность
shes pa,Сознание; познание; знание; понимание
shes rab,мудрость
sku gsum,Три Тела Будды
smon lam,Молитва; пожелания
snang,Видимость; освещение
sngags,Мантра; тантра
snying brtse,Сострадание и любовь; забота
snying rje,сострадание
snying stobs,Мужество; сила воли
so sor brtags ‘gog,Аналитическое пресечение
so sor rtog pa,Индивидуальное исследование
so sor thar pa,Собственное освобождение
spros pa,умопостроения
sprul sku,Тело Проявления
spyod pa,поведение; практика
sred pa,привязанность; страстное желание
srid pa,Мирское бытие; сансара
stong [pa] nyid,пустота
thams cad mkhyen pa,всеведение
thar pa,освобождение
thos pa,слушание; слушать; обучаться
thug pa med pa,
ting nge ‘dzin,медитативное сосредоточение; однонаправленное сосредоточение; созерцание
tshul khrims,нравственность
ye shes,высшая (изначальная) мудрость
yon tan,качество; достоинство; добродетель
yul,Место; объект; объект чувственного восприятия
zhe sdang,гнев; ненависть
zhi ba,покой
‘bras bu,результат; плод + Следствие
‘byor ba,богатство; сокровище; приобретение
‘dod chags,желание; привязанность
‘dod pa,желание; влечение + утверждения
‘du shes,различение
‘dus byas,составной феномен; обусловленный феномен; производное
‘dzin pa,держать; удостоверять; удостоверяющий субъект
‘gro ba,скиталец; перерождающийся; переход
‘jig rten,Преходящий мир; обыватели
‘jug pa‘i sems,Деятельная бодхичитта
‘khor ba,круговорот бытия
‘phags pa,святой
