wylie,translations
bag chags,"след;отпечаток + предрасположенность + привычка"
bag la nyal,"латентный + находящийся в потенциальном состоянии"
bag med,неосмотрительность;неосторожность
bag yod,осмотрительность;осторожность;избирательность
bar do,бардо;промежуточное состояние/существование
bar do ba,"существо бардо;существо, находящееся в бардо/ промежуточном состоянии"
bdag,самость;атман;самосущая природа;«Я» (как объект отрицания);я (как личное местоимение)
bdag dang bdag gir ‘dzin pa,"цепляние за [самосущие] «Я» и «моё»;восприятие «Я» и того, что принадлежит ему"
bdag med,бессамостность;отсутствие самосущего  «Я»;несуществование самосущего «Я»
bdag nyid,"именно/ только самость (см. bdag) + природа; сущность: chos thams cad sems kyi bdag nyid tsam du smra ba - провозглашение всех дхарм как [существующих] лишь в природе ума + именно я/ именно сам/ сам: bdag nyid bdag gi mgon yin gyi / gzhan ni su shig mgon du 'gyur - [Человек] защитник себе сам/ Ведь кто же другой заступником быть может? + обладатель/ владыка: thugs rje'i bdad nyid - владыка сострадания + великая личность - bdag nyid chen po (калька с санскр. mahātma)"
bdag tu ‘dzin pa,цепляние за [самосущее] «Я»
bde [ba],счастье; блаженство + благополучие + приятное ощущение
blo,ум + разум + интеллект + рациональный ум
brtags min gyi ‘gog pa,прекращенность без постижения [по отдельности] + условная Истина Святых о прекращенности
brtson ‘grus,усердие; усилие + старание + рвение
bsam gtan,медитативное сосредоточение
bsam pa,"мысль + помысел; намерение; мотивация + обдумывание + думать"
bsgom pa,"гл. буд. врем. медитировать; созерцать; культивировать + сущ. медитация; созерцание; привыкание; культивация"
bsgrub pa,осуществление + воплощение + практика
bsod nams,благие заслуги
byams pa,любовь
byang [chub kyi] sems,ум Пробуждения + бодхичитта
byang [chub] sems [dpa‘],бодхисаттва
byang chub,Пробуждение; Просветление
byis pa,"ребенок + незрелый человек; человек-дитя + обычное существо (в противовес арьям); глупец (в противовес мудрым)"
bzung ba,"объект восприятия + то, что воспринимается"
chad [pa‘i] lta [ba],нигилизм + воззрение о прерывности
chags pa,привязанность + вожделение
chos,"Дхарма; Учение + религия + явление; феномен + предмет; вещь"
chos [kyi] dbyings,[конечная] сфера явлений + Пустота
chos mngon,Абхидхарма + высшая мудрость
chos nyid,Дхармата; Пустота
chos sku,Тело Мудрости Будды
dad pa,вера
dag pa,чистота + отсутствие
dben pa,лишенность; отсутствие
dbu ma pa,последователь Мадхъямаки + последователь Срединного воззрения
de bzhin gshegs pa,Татхагата + Так Ушедший
de kho na [nyid],Пустота + таковость
de nyid,Пустота + таковость
dge ba,благое
dge ba‘i bshes gnyen,благой друг; духовный наставник/ учитель
dgra bcom pa,архат + победивший врагов
dmigs pa,объект рассмотрения + рассматривание
dngos po,предмет; вещь
dngos sgrub,реализация; сиддхи
don dam,высший смысл + абсолютное
dran pa,памятование + память + воспоминание
gang zag,личность; индивид
gnas lugs,способ пребывания
gnyis [su] med [pa],недвойственность
gsal ba,прояснение
gti mug,неведение
gtso bo,главный
gzhan dbang,зависимость + власть другого
gzhi,основа
gzugs,"материальное; физическое + форма"
ji snyed pa,"сколько есть + количественное; количественный/ относительный аспект"
khams,"сфера + элемент + мир + характер; натура"
khro ba,ярость
klu,нага
kun rdzob pa‘i bden pa,относительная истина
kun slong,намерение + мотивация + ментальная установка
lam,путь
las,карма; действие; деяние
log rtog,ложное постижение/понимание
lta ba,воззрение
ma rig pa,неведение
med pa,отсутствие + несуществование
mi dge ba,неблагое
mi rigs,"неподобающий; недопустимый + нелогичный"
mi rtag pa,непостоянство + непостоянный
mi ‘thse ba,невредоносный + невредоносность
mngon par zhen pa,привязанность + цепляние
mngon rtog,ясное постижение; постижение
mngon sum,прямое/ непосредственное восприятие
mngon sum gyis shes pa,(со)знание прямого/ непосредственного восприятия
mnyam [par] gzhag [pa],медитативное погружение + равноустановленная медитация
mthar lta,крайнее воззрение
mthar ‘dzin pa,цепляние за крайние воззрения + приверженность крайним воззрениям
mtshan gzhi,основа определения; пример
mtshan nyid,"определение + характеристика; свойство; качество"
myang ‘das,Нирвана; выход за пределы печали
myong ba,переживание + ощущение + опыт
nga rgyal,гордыня
ngar ‘dzin,цепляние за «Я» + восприятие [своего] Я;
nges ‘byung,Отречение
ngo bo,сущность; природа
nyams len,практика + взятие в опыт
nyan thos [rnams],шравака; слушатель
nyon mongs,"клеша; омрачение + страдание"
pha rol tu phyin pa,Парамита; Совершенство
phrin las,просветленная активность + деяния будд
phung po,скандха + совокупность + груда
phyag rgya,мудра + печать
rang bzhin,природа + самосущая природа + самобытие + собственное бытие
rang gi mtshan nyid,собственная характеристика
rang rig,самопознание
rang sangs rgyas,пратьекабудда
rdo rje,ваджра + алмаз
rdzas,субстанция
reg pa,контакт; прикосновение
rgyal ba,Победоносный
rgyud,Тантра + поток
rig pa,ведание
rjes su dran pa,памятование
rmongs pa,глупость + тупость
rnam par thar pa,полное освобождение
rnam [par] rtog [pa],измышление
rnam shes,сознание
rtag lta ba,последователь воззрения о постоянстве
rten,опора
rten [cing] ‘brel [bar ‘byung ba],зависимое возникновение; опорно-обусловленное возникновение
rtog pa,"мысль; концепция (концептуальное познание, воспринимающее словесный и общий образы как возможные для совмещения) + анализ (общий анализ объекта) + анализ (как ментальный фактор, вникающий в особенности своего объекта на поверхностном, грубом уровне) + интеллект, рассудок, рациональный ум + глава текста (в качестве brtag pa)"
rtogs pa,"постижение, уяснение + преобразовать (a's bdud rtsir rtogs par byas - «слогом А  совершаем преобразование в нектар») + обрести (из «Украшения ясных постижений» - rdzogs pa'i byang chub rnon po yis / rtogs sla rtul pos rtogs dkar bshad - Сказано, что [индивиды] с острыми [способностями] легко обретают Полное Пробуждение, с низкими - трудно."
sbyin pa,даяние
sdig pa,проступок + злодеяние
sdug bsngal,страдание
sems,ум
sems bskyed,бодхичитта + порождение бодхичитты
sems nyid,"таковость ума; пустотная природа ума + только ум"
sgo gsum,три двери
sgom pa,"гл. наст. врем. медитировать, созерцать; культивировать + сущ.медитация, созерцание; культивирование,свыкание, осознанное порождение привыкания"
sgrib pa,завесы; покровы
sgro ‘dogs pa,приписывание; преувеличение
sgyu ma,иллюзия
shes bzhin pa,	интроспекция
shes pa,(со)знание + знать
shes rab,мудрость
sku gsum,три тела
smon lam,молитва
snang,представать + возникать + казаться + проявляться + видеться
sngags,мантра
snying brtse,
snying rje,сострадание
snying stobs,мужество
so sor brtags ‘gog,прекращенность постижения по отдельности
so sor rtog pa,постижение по отдельности
so sor thar pa,личное/ индивидуальное освобождение
spros pa,умопостроение + построение
sprul sku,Явленное Тело; Тело Эманации
spyod pa,поведение + практика
sred pa,жажда
srid pa,"бытие; [сансарическое] существование + возможность"
stong [pa] nyid,Пустота
thams cad mkhyen pa,Всеведение
thar pa,Освобождение
thos pa,"ученость; образованность + слушатель + слушать"
thug pa med pa,бесконечность + отсутствие конца/ предела
ting nge ‘dzin,сосредоточение
tshul khrims,нравственность + нравственная/ моральная дисциплина
ye shes,изначальная мудрость
yon tan,"достоинство; благое качество + свойство; характеристика"
yul,объект + страна
zhe sdang,гнев
zhi ba,умиротворение + мир + покой
‘bras bu,"плод + результат; следствие"
‘byor ba,соединяться
‘dod chags,вожделение + страсть
‘dod pa,желание
‘du shes,различение
‘dus byas,формирующий фактор
‘dzin pa,цепляние + восприятие + постижение
‘gro ba,"живое существо; странник + идти"
‘jig rten,мир + общепринятое в миру
‘jug pa‘i sems,бодхичитта действия/ вовлечения
‘khor ba,сансара;круговорот/ череда перерождений
‘phags pa,Арья;святой;возвышенный;достигший пути видения
