wylie,translations,comment
bag chags,,
bag la nyal ,,
bag med,,
bag yod,Самоконтроль; осмотрительность,"осмотрительность, контроль за своими поступками, сознательная направленность ума к благим дхармам и защита его от нечистых дхарм. Самоконтроль противоположен невнимательности, небрежности, беспечности."
bar do,,
bar do ba,,
bdag,,
bdag dang bdag gir ‘dzin pa,,
bdag med,,
bdag nyid,,
bdag tu ‘dzin pa,,
bde [ba],,
blo,,
brtags min gyi ‘gog pa,,
brtson ‘grus,Энергичность; усердие; прилежание; радение,"Вирья-парамита - одна из шести парамит, «совершенств», практикуемых бодхисаттвой"
bsam gtan,дхьяна,"глубокая медитация, сосредоточение"
bsam pa,осмысление,"обдумывание и уяснение смысла того, что было получено на стадии слушания"
bsgom pa,медитация,
bsgrub pa ,,
bsod nams,заслуга,"положительный кармический потенциал, накопленный вследствие совершения благих деяний тела, речи и ума"
byams pa,любовь,
byang [chub kyi] sems,бодхичитта,"согласно Гамбопе, высшая бодхичитта, Пустота, неотделима от сострадания — сияющая, неколебимая и невыразимая мыслью; относительная бодхичитта — устремление к Пробуждению. См. «Украшение Освобождения»"
byang [chub] sems [dpa‘],,
byang chub,пробуждение,высшая цель буддийской практики: освобождение от оков самсары и достижение состояния всеведения
byis pa,,
bzung ba,,
chad [pa‘i] lta [ba],,
chags pa,,
chos,Учение Будды; буддизм + явления + элементы бытия + психические свойства,
chos [kyi] dbyings,Высшая Реальность,
chos mngon,,
chos nyid,дхармата; Высшая Реальность,"сущность реальности, совершенно чистая природа всех вещей"
chos sku,"Дхармакая (""тело Истины"")","одно из трех тел будды. Это вневременное, неизменное, лишенное характеристик недвойственное состояние, духовное тело будд, их подлинная природа. В Ваджраяне под дхармакаей понимается Пустота, всепроникающая Высшая Реальность, само Пробуждение."
dad pa,вера,"Гамбопа говорит о трех типах веры («Украшение Освобождения», конец гл. 2), Цонкапа о четырех («Лам-рим», т. 1, с. 358)"
dag pa,,
dben pa,,
dbu ma pa,,
de bzhin gshegs pa,,
de kho na [nyid],,
de nyid,,
dge ba,,
dge ba‘i bshes gnyen,,
dgra bcom pa,,
dmigs pa,,
dngos po ,,
dngos sgrub,сиддхи,"в традиции тантры название достигшего Освобождения учителя, который может демонстрировать сверхъестественные силы."
don dam,Высшая Реальность,"противоположность относительной реальности (с.: самвритти), т.е. явлениям самсары. Но в действительности, т.е. с высшей точки зрения, высшая и относительная реальность тождественны."
dran pa,памятование,"непрерывное удержание в памяти, осознавание, внимательность. Это один из пяти определяющих ментальных факторов, предотвращающих «забвение» объекта медитации (см. Бдительность, Самоконтроль)"
gang zag,,
gnas lugs,,
gnyis [su] med [pa],,
gsal ba,,
gti mug,,
gtso bo,,
gzhan dbang,,
gzhi,основа,
gzugs,,
ji snyed pa,,
khams,,
khro ba,,
klu,,
kun rdzob pa‘i bden pa,,
kun slong,,
lam,путь,"буддийский Путь, высшей целью которого является Пробуждение"
las,карма; действие; обязанность; деятельность,"закон причины и следствия, согласно которому мы переживаем мир в соответствии с впечатлениями, закладываемыми нами в ум телесно, вербально и умственно"
log rtog,,
lta ba,,
ma rig pa,,
med pa,,
mi dge ba ,,
mi rigs,,
mi rtag pa,,
mi ‘thse ba,,
mngon par zhen pa,,
mngon rtog ,,
mngon sum ,,
mngon sum gyis shes pa,,
mnyam [par] gzhag [pa],,
mthar lta,,
mthar ‘dzin pa,,
mtshan gzhi,,
mtshan nyid,,
myang ‘das,,
myong ba,,
nga rgyal,,
ngar ‘dzin ,,
nges ‘byung,отречение,установка на окончательное освобождение от самсары
ngo bo ,,
nyams len,практика,"подобно «медитации» является многозначным термином. Миларепе принадлежит высказывание: «Главное наставление буддизма — это практика». Это осуществление Учения, изменение обычной деятельности тела, речи и, особенно, ума. Пожалуй, наиболее кратко понятие «практика» передает 183-й стих Дхаммапады: «Неделание зла, достижение добра, очищение своего ума...». Основной термин, достойный переводиться как «практика» — т.: ньямс.су.лен (букв.: «взятие в переживание»). То, является ли данное деяние и «практика» действительно практикой, определяется тем, стало ли оно переживанием. Именно это придает деятельности, входящей в структуру Пути, качество практики. Практика подробно описывается в литературе класса «Лам-рим»."
nyan thos rnams,,
nyon mongs,клеши,"«недуги», «мучения», «загрязнения», «скверны», «яды», «отравы», «аффекты» и т.д. Заблуждения и неадекватные реакции, препятствующие постижению истины и вызывающие страдание. Основные клеши: неведение, страсть-привязанность, ненависть, а также гордость и зависть"
pha rol tu phyin pa,парамиты,"(букв.: «то, что ведёт к другому берегу») — аспекты практики бодхисаттвы: даяние (с.: дана), нравственность (с.: шила), терпение (с.: кшанти), усердие (с.: вирья), медитация (с.: дхьяна) и мудрость (с.: праджня). Они суть средство пресечения самсары и достижения Пробуждения."
phrin las,,
phung po,,
phyag rgya,,
rang bzhin,самобытие,глубоко укоренившаяся иллюзия неизменной самосущности всех вещей
rang gi mtshan nyid,,
rang rig,,
rang sangs rgyas,,
rdo rje,,
rdzas,,
reg pa,,
rgyal ba,Победитель,эпитет Будды
rgyud,поток сознания,"континуум, непрерывный поток дхарм, психических явлений. Наш ум, сознание, психика представляет собой «поток»"
rig pa,,
rjes su dran pa,,
rmongs pa,,
rnam par thar pa ,,
rnam [par] rtog [pa],викальпа,"воображение, фантазия, пустые понятия. Ср.: «Йога-сутра», 1, 9. Восемь мирских дхарм (т.: ,джиг.ртен.чхос.бгйад, с.: аштау лока-дхармах) — обретение и потеря, известность и позор, похвала и порицание, удовольствие и боль."
rnam shes,сознание; ум,
rtag lta ba,,
rten,,
rten [cing] ‘brel [bar ‘byung ba],,
rtog pa,,
rtogs pa,постижение,"адекватное постижение реальности (ртогс.па) в противоположность теоретическому знанию и интеллектуальному осмыслению. Результат практики медитации (т.: сгом), что подразумевает практику буддизма в целом."
sbyin pa ,,
sdig pa,,
sdug bsngal,страдание,"атрибут относительного, обусловленного («составного») бытия, т.е. самсары, принципиальное несовершенство, ограниченность, неудовлетворительность жизни живых существ"
sems,сознание; ум,"Термином «ум» или «сознание» (в качестве синонимов) обозначается фактически вся совокупность психики, психических проявлений. Живое существо — это единство тела и психики (т.: семс.чан). Динамическая природа психики выражается термином ргйуд, ранг.ргйуд или ргйун (с.: сантана),т.е. «поток», «континуум», «поток сознания» (точнее, «поток бытия, пяти скандх»)"
sems bskyed,,
sems nyid,,
sgo gsum,Трое врат,"тело, речь и ум"
sgom pa,медитация,
sgrib pa,Два загрязнения,"1. сокрытие истины клешами 2. сокрытие истины в результате ущербного познания, непостижения Пустоты внешних и внутренних явлений"
sgro ‘dogs pa,,
sgyu ma,,
shes bzhin pa,бдительность,
shes pa,,
shes rab,мудрость; праджня,Относительная мудрость — знание буддийских наук: логики и др. Высшая мудрость — видение истинной природы явлений
sku gsum,три тела; трикая,"три тела или три способа бытия Будды: Нирманакая, Самбхогакая, Дхармакая"
smon lam,,
snang,,
sngags,мантра,"1. Заклинания.  2. Слова или слоги, выражающие суть различных энергий и аспектов будды"
snying brtse ,,
snying rje,сострадание,"это процесс перерождений, старение, болезни, умирание, недовольство тем, что есть, недостижение желаемого и т.д. Коренная причина страдания — клеши (неведение, страсть, ненависть). Ключевой принцип махаяны, выражающий мотивацию бодхисаттвы. См. Четыре Безмерных"
snying stobs,,
so sor brtags ‘gog,,
so sor rtog pa,,
so sor thar pa,,
spros pa ,,
sprul sku,Нирманакая,"одно из трех тел будды, актуализация буддства, доступная восприятию обычных людей."
spyod pa,практика,
sred pa,,
srid pa,,
stong [pa] nyid,Пустота; Шуньята,"истинная природа явлений (как внешних, так и внутренних), реальный способ существования вещей: отсутствие внутреннеприсущей постоянной реальности, обусловленность, относительность всех явлений. Насчитывается до двадцати видов Пустоты (см.: Андросов, «Буддизм Нагарджуны», с. 505-513)"
thams cad mkhyen pa,,
thar pa,освобождение,"освобождение от самсары, от неотъемлемо присущего ей страдания, обусловленного кармой и клешами"
thos pa,слушание,"Первоначально — слушание наставлений и священных текстов из уст гуру, получение информации о Дхарме. Это первый этап триады «слушание-осмысление-медитация». Аналогичная схема практики свойственна также и классическому индуизму (йога, адвайта-веданта)."
thug pa med pa,,
ting nge ‘dzin,самадхи,"букв. «фиксация ума», «медитативное погружение», «концентрация». Состояние полного сосредоточения, при котором объект медитации и ум медитирующего являют собой единое целое; сверхсознательное состояние."
tshul khrims,,
ye shes,,
yon tan,,
yul,,
zhe sdang,,
zhi ba,,
‘bras bu,плод,"высший результат буддийской практики, состояние Будды"
‘byor ba,,
‘dod chags,,
‘dod pa,,
‘du shes,,
‘dus byas,,
‘dzin pa,,
‘gro ba,,
‘jig rten,,
‘jug pa‘i sems,,
‘khor ba,Самсара,"цикл рождений и смертей, характеристикой которого является страдание, а коренной причиной — неведение (с.: авидья). Схему самсары см.: «Лам-рим» Цонкапы т. I, с.366 — 368."
‘phags pa,,
